school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures_mat,failures_por,schoolsup,famsup,paid_mat,paid_por,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences_mat,absences_por,G1_mat,G2_mat,G3_mat,G1_por,G2_por,G3_por
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,0,0,yes,no,no,no,no,yes,yes,no,no,4,3,4,1,1,3,6,4,5,6,6,0,11,11
GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2,0,0,no,yes,no,no,no,no,yes,yes,no,5,3,3,1,1,3,4,2,5,5,6,9,11,11
GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1,2,3,0,yes,no,yes,no,no,yes,yes,yes,no,4,3,2,2,3,3,10,6,7,8,10,12,13,12
GP,F,15,U,GT3,T,4,2,health,services,home,mother,1,3,0,0,no,yes,yes,no,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,0,15,14,15,14,14,14
GP,F,16,U,GT3,T,3,3,other,other,home,father,1,2,0,0,no,yes,yes,no,no,yes,yes,no,no,4,3,2,1,2,5,4,0,6,10,10,11,13,13
GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,0,no,yes,yes,no,yes,yes,yes,yes,no,5,4,2,1,2,5,10,6,15,15,15,12,12,13
GP,M,16,U,LE3,T,2,2,other,other,home,mother,1,2,0,0,no,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,0,12,12,11,13,12,13
GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,0,yes,yes,no,no,no,yes,yes,no,no,4,1,4,1,1,1,6,2,6,5,6,10,13,13
GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,0,no,yes,yes,no,no,yes,yes,yes,no,4,2,2,1,1,1,0,0,16,18,19,15,16,17
GP,M,15,U,GT3,T,3,4,other,other,home,mother,1,2,0,0,no,yes,yes,no,yes,yes,yes,yes,no,5,5,1,1,1,5,0,0,14,15,15,12,12,13
GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,0,no,yes,yes,no,no,yes,yes,yes,no,3,3,3,1,2,2,0,2,10,8,9,14,14,14
GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,3,0,0,no,yes,no,no,yes,yes,yes,yes,no,5,2,2,1,1,4,4,0,10,12,12,10,12,13
